Which%20of%20these%20book%20series%20is%20by%20James%20Patterson%3F,Maximum%20Ride
%22Elementary%2C%20my%20dear%20Watson%22%20is%20a%20phrase%20that%20is%20never%20truly%20said%20within%20the%20Conan%20Doyle%20books%20of%20Sherlock%20Holmes.,True
Which%20is%20NOT%20a%20book%20in%20the%20Harry%20Potter%20Series%3F,The%20House%20Elf
Harry%20Potter%20was%20born%20on%20July%2031st%2C%201980.,True
According%20to%20The%20Hitchhiker%27s%20Guide%20to%20the%20Galaxy%20book%2C%20the%20answer%20to%20life%2C%20the%20universe%20and%20everything%20else%20is...,42
Where%20does%20the%20book%20%22The%20Silence%20of%20the%20Lambs%22%20get%20its%20title%20from%3F,The%20main%20character%27s%20trauma%20in%20childhood
The%20novel%20%22Of%20Mice%20And%20Men%22%20was%20written%20by%20what%20author%3F%20,John%20Steinbeck%20
Who%20wrote%20the%20children%27s%20story%20%22The%20Little%20Match%20Girl%22%3F,Hans%20Christian%20Andersen
By%20what%20name%20was%20the%20author%20Eric%20Blair%20better%20known%3F,George%20Orwell
Abel%20Magwitch%20is%20a%20character%20from%20which%20Charles%20Dickens%20novel%3F,Great%20Expectations
In%20which%20classic%20novel%20by%20Mark%20Twain%20did%20a%20beggar%20and%20Prince%20of%20Wales%20switch%20clothes%2C%20and%20learn%20about%20social%20class%20inequality%3F,The%20Prince%20and%20the%20Pauper
What%20is%20the%20name%20of%20the%20protagonist%20of%20J.D.%20Salinger%27s%20novel%20Catcher%20in%20the%20Rye%3F,Holden%20Caulfield
In%20The%20Lies%20of%20Locke%20Lamora%2C%20what%20title%20is%20Locke%20known%20by%20in%20the%20criminal%20world%3F,The%20Thorn%20of%20Camorr
The%20book%201984%20was%20published%20in%201949.,True
Who%20wrote%20%22Harry%20Potter%22%3F,J.K.%20Rowling
Under%20what%20pseudonym%20did%20Stephen%20King%20publish%20five%20novels%20between%201977%20and%201984%3F,Richard%20Bachman
Which%20Russian%20author%20wrote%20the%20epic%20novel%20War%20and%20Peace%3F,Leo%20Tolstoy
What%20is%20the%20name%20of%20Sherlock%20Holmes%27s%20brother%3F,Mycroft%20Holmes
In%20the%20year%201818%2C%20novelist%20Mary%20Shelly%20is%20credited%20with%20writing%20a%20fiction%20novel%20and%20creating%20this%20infamous%20character.,Frankenstein%27s%20monster
Which%20of%20the%20following%20authors%20was%20not%20born%20in%20England%3F%20,Arthur%20Conan%20Doyle
Who%20wrote%20the%20novel%20%27Fear%20And%20Loathing%20In%20Las%20Vegas%27%3F,Hunter%20S.%20Thompson
What%20was%20the%20pen%20name%20of%20novelist%2C%20Mary%20Ann%20Evans%3F,George%20Eliot
Which%20of%20the%20following%20is%20the%20world%27s%20best-selling%20book%3F,The%20Lord%20of%20the%20Rings
In%20which%20classic%20novel%20is%20there%20a%20character%20named%20Homer%20Simpson%3F,The%20Day%20of%20the%20Locust
The%20%22Berenstein%20Bears%22%20is%20the%20correct%20spelling%20of%20the%20educational%20children%27s%20book%20series%27%20name.,False
What%20was%20the%20name%20of%20Captain%20Nemo%27s%20submarine%20in%20%2220%2C000%20Leagues%20Under%20the%20Sea%22%3F,The%20Nautilus
J.K.%20Rowling%20completed%20%22Harry%20Potter%20and%20the%20Deathly%20Hallows%22%20in%20which%20hotel%20in%20Edinburgh%2C%20Scotland%3F,The%20Balmoral
What%20position%20does%20Harry%20Potter%20play%20in%20Quidditch%3F,Seeker
In%20the%20%22Harry%20Potter%22%20novels%2C%20what%20must%20a%20Hogwarts%20student%20do%20to%20enter%20the%20Ravenclaw%20Common%20Room%3F,Answer%20a%20riddle
What%20is%20the%20fourth%20book%20of%20the%20Old%20Testament%3F,Numbers
In%20Terry%20Pratchett%27s%20Discworld%20novel%20%27Wyrd%20Sisters%27%2C%20which%20of%20these%20are%20not%20one%20of%20the%20three%20main%20witches%3F,Winny%20Hathersham
What%20is%20Hermione%20Granger%27s%20middle%20name%3F,Jean
In%20the%20novel%201984%2C%20written%20by%20George%20Orwell%2C%20what%20is%20the%20name%20of%20the%20totalitarian%20regime%20that%20controls%20Oceania%3F,INGSOC
The%20book%20%22Fahrenheit%20451%22%20was%20written%20by%20whom%3F,Ray%20Bradbury
What%20book%20series%20published%20by%20Jim%20Butcher%20follows%20a%20wizard%20in%20modern%20day%20Chicago%3F,The%20Dresden%20Files
The%20book%20%22The%20Little%20Prince%22%20was%20written%20by...,Antoine%20de%20Saint-Exup%C3%A9ry
Which%20of%20the%20following%20is%20NOT%20a%20work%20done%20by%20Shakespeare%3F,Trial%20of%20Temperance
Which%20author%20co-wrote%20%22The%20Communist%20Manifesto%22%20alongside%20Karl%20Marx%3F,Friedrich%20Engels
What%20is%20the%20name%20of%20the%20three%20headed%20dog%20in%20Harry%20Potter%20and%20the%20Sorcerer%27s%20Stone%3F,Fluffy
George%20Orwell%20wrote%20this%20book%2C%20which%20is%20often%20considered%20a%20statement%20on%20government%20oversight.,1984
The%20title%20of%20Adolf%20Hitler%27s%20autobiography%20%22Mein%20Kampf%22%20is%20what%20when%20translated%20to%20English%3F,My%20Struggle
Which%20famous%20book%20is%20sub-titled%20%27The%20Modern%20Prometheus%27%3F,Frankenstein
What%20is%20the%20name%20of%20the%20town%20in%20which%20Lily%20and%20James%20Potter%20are%20buried%3F,Godric%27s%20Hollow
What%20is%20Ron%20Weasley%27s%20middle%20name%3F,Bilius
Who%20wrote%20the%201967%20horror%20novel%20%22Rosemary%27s%20Baby%22%3F,Ira%20Levin
Stephen%20Chbosky%20wrote%20the%20book%20%27The%20Perks%20of%20Being%20A%20Wallflower%27.,True
In%20the%20Lord%20of%20the%20Rings%2C%20who%20is%20the%20father%20of%20the%20dwarf%20Gimli%3F,Gloin
Which%20American%20author%20was%20also%20a%20budding%20travel%20writer%20and%20wrote%20of%20his%20adventures%20with%20his%20dog%20Charley%3F,John%20Steinbeck
What%27s%20the%20second%20book%20in%20George%20R.%20R.%20Martin%27s%20%27A%20Song%20of%20Ice%20and%20Fire%27%20series%3F,A%20Clash%20of%20Kings
What%20was%20the%20first%20ever%20entry%20written%20for%20the%20SCP%20Foundation%20collaborative%20writing%20project%3F,SCP-173
Which%20of%20the%20following%20is%20not%20a%20work%20authored%20by%20Fyodor%20Dostoevsky%3F,Anna%20Karenina
How%20many%20Harry%20Potter%20books%20are%20there%3F,7
In%20Michael%20Crichton%27s%20novel%20%22Jurassic%20Park%22%2C%20John%20Hammond%20meets%20his%20demise%20at%20the%20claws%20of%20which%20dinosaur%3F,Procompsognathus
In%20the%20%22The%20Hobbit%22%2C%20who%20kills%20Smaug%3F,Bard
In%20the%20%22Harry%20Potter%22%20series%2C%20what%20is%20Headmaster%20Dumbledore%27s%20full%20name%3F,Albus%20Percival%20Wulfric%20Brian%20Dumbledore
What%20was%20the%20name%20of%20the%20Mysterious%20Island%2C%20in%20Jules%20Verne%27s%20%22The%20Mysterious%20Island%22%3F,Lincoln%20Island
In%20the%20Beatrix%20Potter%20books%2C%20what%20type%20of%20animal%20is%20Tommy%20Brock%3F,Badger
The%20Harry%20Potter%20series%20of%20books%2C%20combined%2C%20are%20over%201%2C000%2C000%20words%20in%20length.,True
In%20Romance%20of%20the%20Three%20Kingdoms%2C%20who%20was%20not%20a%20member%20of%20the%20Peach%20Garden%20Oath%3F,Zhao%20Yun
Shub-Niggurath%20is%20a%20creature%20that%20was%20created%20by%20%09J.%20R.%20R.%20Tolkien%20in%20his%20novel%20%22The%20Lord%20of%20The%20Rings%22.,False
Which%20fictional%20English%20county%20was%20the%20setting%20for%20Thomas%20Hardy%27s%20novels%3F,Wessex
What%20is%20the%20name%20of%20Eragon%27s%20dragon%20in%20%22Eragon%22%3F,Saphira
In%20the%20Magic%3A%20The%20Gathering%20universe%2C%20the%20Fallen%20Empires%20expansion%20takes%20place%20on%20which%20continent%3F,Sarpadia
By%20what%20nickname%20is%20Jack%20Dawkins%20known%20in%20the%20Charles%20Dickens%20novel%2C%20%27Oliver%20Twist%27%3F,The%20Artful%20Dodger
In%20the%20book%20%22The%20Martian%22%2C%20how%20long%20was%20Mark%20Watney%20trapped%20on%20Mars%20%28in%20Sols%29%3F,549%20Days
What%20was%20the%20last%20message%20of%20the%20Dolphins%20in%20%22The%20Hitchhiker%27s%20Guide%20to%20the%20Galaxy%22%3F,%22So%20long%2C%20and%20thanks%20for%20all%20the%20fish.%22
