On%20what%20day%20did%20Germany%20invade%20Poland%3F,September%201%2C%201939
America%27s%20Strategic%20Defense%20System%20during%20the%20Cold%20War%20was%20nicknamed%20after%20this%20famous%20movie.,Star%20Wars
In%20the%20year%201900%2C%20what%20were%20the%20most%20popular%20first%20names%20given%20to%20boy%20and%20girl%20babies%20born%20in%20the%20United%20States%3F,John%20and%20Mary
Who%20invented%20the%20%22Flying%20Shuttle%22%20in%201738%3B%20one%20of%20the%20key%20developments%20in%20the%20industrialization%20of%20weaving%3F,John%20Kay
Who%20is%20attributed%20credit%20for%20recording%20the%20epic%20poem%20The%20Odyssey%3F,Homer
Abraham%20Lincoln%20was%20the%20first%20U.S.%20President%20to%20be%20born%20outside%20the%20borders%20of%20the%20thirteen%20original%20states.%20,True
Who%20assassinated%20President%20James%20A.%20Garfield%3F,Charles%20Guiteau
In%20World%20War%20II%2C%20Hawker%20Typhoons%20served%20in%20the%20Pacific%20theater.,False
What%20is%20the%20name%20of%20the%20Boeing%20B-29%20that%20dropped%20the%20%27Little%20Boy%27%20atomic%20bomb%20on%20Hiroshima%3F,Enola%20Gay
The%20Panama%20Canal%20was%20finished%20under%20the%20administration%20of%20which%20U.S.%20president%3F,Woodrow%20Wilson
When%20Christopher%20Columbus%20sailed%20to%20America%2C%20what%20was%20the%20first%20region%20he%20arrived%20in%3F,The%20Bahamas%20Archipelago
In%201961%2C%20an%20American%20B-52%20aircraft%20crashed%20and%20nearly%20detonated%20two%204mt%20nuclear%20bombs%20over%20which%20US%20city%3F,Goldsboro%2C%20North%20Carolina
In%20what%20year%20was%20the%20famous%2045%20foot%20tall%20Hollywood%20sign%20first%20erected%3F,1923
What%20was%20the%20name%20commonly%20given%20to%20the%20ancient%20trade%20routes%20that%20connected%20the%20East%20and%20West%20of%20Eurasia%3F,Silk%20Road
What%20does%20the%20United%20States%20of%20America%20celebrate%20during%20the%204th%20of%20July%3F,The%20signing%20of%20the%20Declaration%20of%20Independence
What%20year%20did%20Australia%20become%20a%20federation%3F,1901
In%20what%20year%20did%20Texas%20secede%20from%20Mexico%3F,1836
During%20the%20Winter%20War%2C%20the%20amount%20of%20Soviet%20Union%20soliders%20that%20died%20or%20went%20missing%20was%20five%20times%20more%20than%20Finland%27s.,True
Against%20which%20country%20did%20the%20Dutch%20Republic%20fight%20the%20Eighty%20Years%27%20War%3F,Spain
One%20of%20the%20deadliest%20pandemics%2C%20the%20%22Spanish%20Flu%22%2C%20killed%20off%20what%20percentage%20of%20the%20human%20world%20population%20at%20the%20time%3F,3%20to%206%20percent
What%20event%20marked%20the%20start%20of%20World%20War%20II%3F,Invasion%20of%20Poland%20%281939%29
What%20is%20the%20name%20of%20the%20ship%20which%20was%20only%20a%20few%20miles%20away%20from%20the%20RMS%20Titanic%20when%20it%20struck%20an%20iceberg%20on%20April%2014%2C%201912%3F,Californian
Which%20one%20of%20these%20was%20not%20a%20beach%20landing%20site%20in%20the%20Invasion%20of%20Normandy%3F,Silver
In%201939%2C%20Britain%20and%20France%20declared%20war%20on%20Germany%20after%20it%20invaded%20which%20country%3F,Poland
When%20did%20Spanish%20Peninsular%20War%20start%3F,1808
